2025-02-04 17:38:28 startup packages configure
2025-02-04 17:38:28 configure libpam-modules-bin:amd64 1.4.0-11ubuntu2.5 <none>
2025-02-04 17:38:28 status unpacked libpam-modules-bin:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 status half-configured libpam-modules-bin:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 status installed libpam-modules-bin:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 startup archives unpack
2025-02-04 17:38:28 upgrade libpam-modules:amd64 1.4.0-11ubuntu2.4 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 status half-configured libpam-modules:amd64 1.4.0-11ubuntu2.4
2025-02-04 17:38:28 status unpacked libpam-modules:amd64 1.4.0-11ubuntu2.4
2025-02-04 17:38:28 status half-installed libpam-modules:amd64 1.4.0-11ubuntu2.4
2025-02-04 17:38:28 status unpacked libpam-modules:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 startup packages configure
2025-02-04 17:38:28 configure libpam-modules:amd64 1.4.0-11ubuntu2.5 <none>
2025-02-04 17:38:28 status unpacked libpam-modules:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:29 status half-configured libpam-modules:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:29 status installed libpam-modules:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:29 startup archives unpack
2025-02-04 17:38:29 upgrade libpam-runtime:all 1.4.0-11ubuntu2.4 1.4.0-11ubuntu2.5
2025-02-04 17:38:29 status half-configured libpam-runtime:all 1.4.0-11ubuntu2.4
2025-02-04 17:38:29 status unpacked libpam-runtime:all 1.4.0-11ubuntu2.4
2025-02-04 17:38:29 status half-installed libpam-runtime:all 1.4.0-11ubuntu2.4
2025-02-04 17:38:29 status unpacked libpam-runtime:all 1.4.0-11ubuntu2.5
2025-02-04 17:38:29 startup packages configure
2025-02-04 17:38:29 configure libpam-runtime:all 1.4.0-11ubuntu2.5 <none>
2025-02-04 17:38:29 status unpacked libpam-runtime:all 1.4.0-11ubuntu2.5
2025-02-04 17:38:29 status half-configured libpam-runtime:all 1.4.0-11ubuntu2.5
2025-02-04 17:38:29 status installed libpam-runtime:all 1.4.0-11ubuntu2.5
2025-02-04 17:38:29 startup archives unpack
2025-02-04 17:38:29 upgrade libmbim-proxy:amd64 1.28.0-1~ubuntu20.04.1 1.28.0-1~ubuntu20.04.2
